Type,Theme,Runner,DetailCode,count
error,darcula,axe,color-contrast,14925118
error,light,axe,color-contrast,9779805
error,solarized,axe,color-contrast,7428277
error,material-darker,axe,color-contrast,5165510
error,dark,axe,color-contrast,3420965
error,horizon,axe,color-contrast,2561526
error,dark,axe,image-alt,297021
error,material-darker,axe,image-alt,297021
error,horizon,axe,image-alt,297021
error,darcula,axe,image-alt,297021
error,solarized,axe,image-alt,297021
error,light,axe,image-alt,296992
error,solarized,axe,link-in-text-block,79557
error,dark,axe,link-in-text-block,79246
error,material-darker,axe,link-in-text-block,79246
error,horizon,axe,link-in-text-block,79246
error,darcula,axe,link-in-text-block,79246
error,horizon,axe,link-name,4722
error,darcula,axe,link-name,4721
error,dark,axe,link-name,4720
error,material-darker,axe,link-name,4720
error,light,axe,link-name,4719
error,solarized,axe,link-name,4718
error,material-darker,axe,bypass,2279
error,dark,axe,bypass,2278
error,horizon,axe,bypass,2278
error,darcula,axe,bypass,2277
error,light,axe,bypass,2276
error,solarized,axe,bypass,2276
error,light,axe,link-in-text-block,1103
error,dark,axe,audio-caption,635
error,material-darker,axe,audio-caption,635
error,light,axe,audio-caption,634
error,horizon,axe,audio-caption,633
error,darcula,axe,audio-caption,633
error,solarized,axe,audio-caption,633
error,light,axe,aria-hidden-focus,81
error,dark,axe,aria-hidden-focus,77
error,material-darker,axe,aria-hidden-focus,77
error,horizon,axe,aria-hidden-focus,77
error,darcula,axe,aria-hidden-focus,77
error,solarized,axe,aria-hidden-focus,77
error,material-darker,axe,aria-input-field-name,47
error,horizon,axe,aria-input-field-name,47
error,darcula,axe,aria-input-field-name,47
error,solarized,axe,aria-input-field-name,47
error,dark,axe,aria-input-field-name,46
error,light,axe,aria-input-field-name,46
error,horizon,axe,aria-required-parent,38
error,darcula,axe,aria-required-parent,38
error,dark,axe,aria-required-parent,28
error,material-darker,axe,aria-required-parent,28
error,solarized,axe,aria-required-parent,28
error,light,axe,aria-required-parent,10
error,dark,axe,region,5
error,light,axe,region,5
error,material-darker,axe,region,5
error,horizon,axe,region,5
error,darcula,axe,region,5
error,solarized,axe,region,5
error,light,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,20697224
error,dark,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,15489748
error,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,14874771
error,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,6501129
error,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,4154616
error,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,2452722
error,dark,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294988
error,material-darker,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294988
error,horizon,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294988
error,darcula,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294988
error,solarized,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294988
error,light,htmlcs,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,294959
error,solarized,htmlcs,WCAG2AA.Principle4.Guideline4_1.4_1_1.F77,127875
